204,649,carred,b'4\n\nT3E1\xe2\x80\x98;fl\xe2\x80\x9d\xef\xac\x82 \n\n'
205,649,carwhite,b'4\n\nT3E1\xe2\x80\x98;fl\xe2\x80\x9d\xef\xac\x82 \n\n'
206,653,truckred,b''
207,653,motorcyclewhite,b''
208,656,carwhite,b''
209,657,motorcyclewhite,b''
210,660,carwhite,b''
211,671,cargreen,b''
212,676,truckwhite,b''
213,677,motorcyclegreen,b''
214,678,carwhite,b''
215,679,truckwhite,b''
216,684,cargreen,b' \n\n'
217,684,truckwhite,b' \n\n'
218,684,carwhite,b' \n\n'
219,686,cargreen,b' \n\n'
220,687,carwhite,b' \n\n'
221,689,carwhite,b' \n\n'
222,694,carwhite,b' \n\n'
223,696,carwhite,b' \n\n'
224,699,carwhite,b' \n\n'
225,708,truckgreen,b' \n\n'
226,711,truckgreen,b' \n\n'
227,714,cargreen,b' \n\n'
228,720,motorcyclewhite,b' \n\n'
229,723,carred,b' \n\n'
230,729,motorcyclegreen,b' \n\n'
231,732,motorcyclewhite,b' \n\n'
232,733,truckwhite,b' \n\n'
233,742,truckwhite,b' \n\n'
234,744,truckred,b' \n\n'
235,747,motorcyclewhite,b' \n\n'
236,748,truckyellow,b' \n\n'
237,750,truckorange,b''
238,750,cargreen,b''
239,755,carorange,b' \n\n'
240,756,carorange,b' \n\n'
241,758,caryellow,"b'"" ,J""?V\'v,\n\n'"
242,759,truckyellow,b' \n\n'
243,760,carred,b' \n\n'
244,761,motorcycleyellow,b' \n\n'
245,761,truckred,b' \n\n'
246,762,carred,b' \n\n'
247,763,motorcycleyellow,b' \n\n'
248,763,motorcycleyellow,b' \n\n'
249,765,motorcycleyellow,b' \n\n'
250,766,cargreen,b' \n\n'
251,772,cargreen,b' \n\n'
252,777,motorcyclewhite,b' \n\n'
253,782,cargreen,b' \n\n'
254,783,cargreen,b' \n\n'
255,786,truckgreen,b' \n\n'
256,789,motorcyclewhite,b' \n\n'
257,792,cargreen,b' \n\n'
258,793,carwhite,b' \n\n'
259,803,cargreen,b''
260,804,truckgreen,b''
261,806,busgreen,b''
262,807,truckgreen,b''
263,812,truckorange,b''
264,812,carorange,b''
265,813,truckgreen,b''
266,813,cargreen,b''
267,817,cargreen,b''
268,821,carwhite,b''
269,821,motorcycleorange,b''
270,823,cargreen,b''
271,825,truckwhite,b''
272,826,carwhite,b''
273,826,truckwhite,b''
274,827,truckgreen,b''
275,830,truckwhite,b''
276,830,carwhite,b''
277,832,carred,b''
278,832,cargreen,b''
279,833,cargreen,b''
280,834,truckwhite,b''
281,835,carred,b''
282,836,truckyellow,b''
283,845,truckyellow,"b'$E\'""""_ \xe2\x80\x98,|"" \xe2\x80\x9c  .\n\n'"
284,848,carred,"b""jE\xe2\x80\x9cL,\xe2\x80\x98l' \xe2\x80\x9c  _\n\n"""
285,850,truckorange,b' \n\n'
286,856,truckyellow,b' \n\n'
287,857,truckwhite,b' \n\n'
288,857,busgreen,b' \n\n'
289,859,truckwhite,b' \n\n'
290,860,carwhite,b' \n\n'
291,862,truckyellow,b' \n\n'
292,863,carwhite,b' \n\n'
293,865,motorcyclewhite,b' \n\n'
294,865,carwhite,b' \n\n'
295,867,truckred,b' \n\n'
296,869,busyellow,b' \n\n'
297,872,busyellow,b' \n\n'
298,874,truckwhite,b' \n\n'
299,876,carwhite,b' \n\n'
300,881,motorcyclewhite,b' \n\n'
301,885,truckwhite,b' \n\n'
302,890,carorange,b' \n\n'
303,893,cargreen,b' \n\n'
304,895,truckorange,b' \n\n'
305,896,cargreen,b' \n\n'
306,910,truckwhite,b''
307,922,truckorange,b''
308,924,motorcycleorange,b''
309,937,carwhite,b''
310,940,carwhite,b''
311,957,truckgreen,b' \n\n'
312,975,truckred,b' \n\n'
313,975,busyellow,b' \n\n'
314,984,motorcycleorange,b' \n\n'
315,985,busgreen,b' \n\n'
316,986,busorange,b' \n\n'
317,987,busgreen,b' \n\n'
318,989,busgreen,b' \n\n'
319,995,cargreen,b' \n\n'
320,996,truckred,b' \n\n'
321,998,motorcycleorange,b' \n\n'
322,999,motorcyclegreen,b' \n\n'
323,1000,truckyellow,b' \n\n'
324,1001,motorcycleblue,b' \n\n'
325,1001,busgreen,b' \n\n'
326,1002,busyellow,b' \n\n'
327,1007,buswhite,b' \n\n'
328,1009,truckwhite,b' \n\n'
329,1009,buswhite,b' \n\n'
330,1021,carwhite,b' \n\n'
331,1023,carorange,b' \n\n'
332,1037,motorcyclegreen,b''
333,1038,motorcycleblue,b''
334,1046,caryellow,b' \n\n'
335,1050,motorcyclegreen,b' \n\n'
336,1052,carwhite,b' \n\n'
337,1054,carwhite,b''
338,1063,cargreen,b' \n\n'
339,1065,buswhite,b' \n\n'
340,1068,motorcycleorange,b' \n\n'
341,1070,cargreen,b' \n\n'
342,1070,motorcyclegreen,b' \n\n'
343,1070,motorcyclegreen,b' \n\n'
344,1071,cargreen,b' \n\n'
345,1079,busyellow,"b""\xe2\x80\x9cHI;-!'\xe2\x80\x9c\xe2\x80\x9cy'T 1\n\n"""
346,1079,carorange,"b""\xe2\x80\x9cHI;-!'\xe2\x80\x9c\xe2\x80\x9cy'T 1\n\n"""
347,1081,carorange,"b""\xe2\x80\x9cH3.-!'\xe2\x80\x9c\xe2\x80\x9crT 1\n\n"""
348,1082,carwhite,b''
349,1083,busgreen,b''
350,1083,motorcycleorange,b''
